age_CE	trsgi	numsamp
1623	0.977	35
1624	0.967	35
1625	0.874	36
1626	1.031	36
1627	0.782	36
1628	0.9	36
1629	0.838	36
1630	0.775	36
1631	0.822	36
1632	0.705	36
1633	0.943	36
1634	1.008	36
1635	0.804	36
1636	0.891	36
1637	0.967	36
1638	0.986	36
1639	0.923	36
1640	0.883	36
1641	1.067	36
1642	1.116	36
1643	1.083	36
1644	1.207	36
1645	1.226	36
1646	1.291	36
1647	1.19	36
1648	1.23	36
1649	1.196	36
1650	1.231	36
1651	1.125	36
1652	1.127	36
1653	1.098	36
1654	1.145	36
1655	1.054	36
1656	0.99	36
1657	1.045	36
1658	1.195	36
1659	1.265	36
1660	1.201	36
1661	1.181	36
1662	1.267	36
1663	1.394	36
1664	1.247	36
1665	0.597	36
1666	0.804	36
1667	1.01	36
1668	0.925	36
1669	0.884	36
1670	0.837	36
1671	0.873	36
1672	0.839	36
1673	0.802	36
1674	0.849	38
1675	0.813	38
1676	0.892	38
1677	0.971	38
1678	0.996	38
1679	1.03	38
1680	1.036	38
1681	1.039	38
1682	1.083	38
1683	1.223	38
1684	1.175	38
1685	1.166	38
1686	0.807	38
1687	0.755	38
1688	0.879	38
1689	0.885	38
1690	0.941	39
1691	0.91	39
1692	1.015	39
1693	0.671	39
1694	1.059	39
1695	0.9	39
1696	0.92	39
1697	0.855	39
1698	0.896	39
1699	0.523	39
1700	0.616	39
1701	0.721	38
1702	0.777	38
1703	0.908	38
1704	1.034	38
1705	1.097	38
1706	1.034	38
1707	1.178	38
1708	1.064	38
1709	1.154	38
1710	1.185	38
1711	1.149	38
1712	0.744	38
1713	0.736	38
1714	0.797	38
1715	0.798	38
1716	0.813	38
1717	0.808	38
1718	0.514	39
1719	0.61	39
1720	0.603	39
1721	0.638	39
1722	0.706	39
1723	0.792	39
1724	0.822	39
1725	0.776	38
1726	0.872	38
1727	0.97	38
1728	1.172	38
1729	1.038	38
1730	1.082	38
1731	1.277	38
1732	1.295	38
1733	1.164	38
1734	1.056	38
1735	1.277	39
1736	1.405	39
1737	1.004	39
1738	0.638	39
1739	0.887	39
1740	0.97	39
1741	1.056	39
1742	0.953	39
1743	1.009	39
1744	0.968	39
1745	0.825	39
1746	1.077	39
1747	1	39
1748	0.937	39
1749	1.086	39
1750	1.147	39
1751	0.936	38
1752	1	38
1753	0.944	38
1754	0.998	38
1755	1.022	38
1756	1.087	38
1757	1.158	38
1758	1.22	38
1759	1.027	38
1760	0.918	38
1761	0.967	38
1762	1.004	38
1763	0.914	38
1764	1.001	38
1765	1.012	38
1766	0.486	38
1767	0.628	38
1768	0.739	38
1769	0.765	38
1770	0.516	38
1771	0.798	38
1772	0.794	38
1773	0.881	38
1774	0.958	38
1775	0.964	37
1776	0.987	37
1777	0.995	37
1778	0.994	37
1779	0.904	37
1780	1.108	38
1781	1.124	38
1782	0.84	38
1783	0.876	38
1784	1.019	38
1785	0.972	38
1786	0.928	38
1787	0.986	38
1788	1.116	38
1789	0.96	38
1790	1.108	38
1791	1.042	38
1792	0.7	38
1793	0.804	38
1794	0.949	38
1795	0.916	38
1796	0.965	38
1797	1.057	38
1798	1.136	38
1799	1.265	38
1800	1.359	38
1801	1.311	38
1802	1.358	38
1803	1.375	38
1804	0.999	38
1805	1.053	38
1806	1.367	38
1807	1.208	38
1808	1.184	38
1809	1.195	38
1810	1.201	38
1811	1.045	38
1812	1.114	38
1813	1.116	38
1814	1.069	38
1815	0.445	38
1816	0.445	38
1817	0.573	38
1818	0.6	38
1819	0.591	38
1820	0.525	38
1821	0.617	38
1822	0.889	38
1823	0.84	38
1824	0.858	38
1825	0.938	38
1826	1.246	38
1827	1.192	38
1828	1.441	38
1829	1.663	38
1830	1.625	38
1831	1.456	37
1832	1.579	37
1833	0.998	37
1834	1.013	37
1835	1.443	37
1836	1.366	37
1837	1.209	37
1838	1.146	37
1839	1.177	37
1840	1.138	37
1841	0.759	37
1842	0.982	37
1843	1.012	37
1844	1.011	37
1845	0.951	37
1846	1.049	37
1847	1.118	37
1848	1.039	37
1849	1.225	37
1850	1.123	37
1851	0.42	37
1852	0.573	37
1853	0.788	37
1854	0.765	37
1855	0.725	37
1856	0.813	37
1857	0.886	37
1858	0.929	37
1859	0.884	37
1860	0.834	37
1861	0.836	37
1862	0.981	37
1863	0.961	37
1864	1.003	37
1865	0.867	37
1866	0.922	37
1867	0.666	37
1868	0.923	37
1869	0.742	37
1870	0.799	37
1871	0.72	36
1872	1.073	36
1873	1.072	36
1874	1.114	36
1875	1.063	36
1876	1.212	36
1877	0.586	36
1878	0.726	36
1879	0.685	36
1880	0.934	36
1881	0.934	36
1882	1.002	36
1883	1.099	36
1884	1.214	36
1885	1.164	36
1886	1.225	36
1887	1.335	36
1888	1.122	36
1889	1.288	36
1890	1.279	35
1891	1.167	35
1892	1.133	35
1893	1.226	35
1894	1.27	35
1895	1.181	35
1896	1.15	35
1897	0.729	35
1898	0.993	35
1899	1	35
1900	1.156	30
1901	1.091	29
1902	1.346	29
1903	1.384	29
1904	1.387	29
1905	1.33	29
1906	1.081	29
1907	1.437	29
1908	1.387	29
1909	1.276	29
1910	1.288	29
1911	0.686	29
1912	0.572	29
1913	0.605	29
1914	0.853	29
1915	0.94	29
1916	1.124	29
1917	0.849	29
1918	0.987	29
1919	0.822	29
1920	0.853	29
1921	0.835	29
1922	0.968	29
1923	0.626	29
1924	0.733	29
1925	1.056	28
1926	1.099	28
1927	0.842	27
1928	1.022	27
1929	1.34	27
1930	1.094	27
1931	1.017	27
1932	1.123	27
1933	1.328	27
